UtteranceName,Filename,Global_end,Global_start,Length,Speaker,Word,syllables,Speech rate
0_Adult2_AA-BO-CM,AA-BO-CM,1.61,0.09,0.5100000000000001,Adult2,2,4,2.6315789473684212
120_Adult1_AA-BO-CM,AA-BO-CM,39.12,2.83,26.59,Adult1,119,169,4.656930283824745
1_Adult2_AA-BO-CM,AA-BO-CM,40.8,38.8,0.9699999999999994,Adult2,3,6,3.0
121_Adult1_AA-BO-CM,AA-BO-CM,43.77,41.0,0.9300000000000002,Adult1,3,4,1.4440433212996373
122_Adult1_AA-BO-CM,AA-BO-CM,49.56,44.43,3.4999999999999996,Adult1,18,24,4.678362573099413
123_Adult1_AA-BO-CM,AA-BO-CM,58.87,58.31,0.5599999999999998,Adult1,3,3,5.357142857142903
124_Adult1_AA-BO-CM,AA-BO-CM,62.57,61.0,1.38,Adult1,8,11,7.006369426751591
3_Adult2_AA-BO-CM,AA-BO-CM,70.94,63.57,2.7,Adult2,8,11,1.4925373134328364
125_Adult1_AA-BO-CM,AA-BO-CM,70.08,68.0,1.7699999999999998,Adult1,6,8,3.8461538461538494
4_Adult2_AA-BO-CM,AA-BO-CM,75.7,71.0,3.6900000000000004,Adult2,13,17,3.6170212765957426
126_Adult1_AA-BO-CM,AA-BO-CM,79.52,77.27,1.8899999999999997,Adult1,12,12,5.333333333333333
5_Adult2_AA-BO-CM,AA-BO-CM,84.89,80.15,2.939999999999999,Adult2,10,11,2.3206751054852344
127_Adult1_AA-BO-CM,AA-BO-CM,87.9,83.5,1.9200000000000002,Adult1,6,8,1.818181818181816
6_Adult2_AA-BO-CM,AA-BO-CM,92.0,85.0,1.8199999999999996,Adult2,9,11,1.5714285714285714
128_Adult1_AA-BO-CM,AA-BO-CM,102.9,88.17,1.5599999999999992,Adult1,7,9,0.610997963340122
7_Adult2_AA-BO-CM,AA-BO-CM,105.0,92.31,4.790000000000002,Adult2,9,19,1.4972419227738378
129_Adult1_AA-BO-CM,AA-BO-CM,105.65,103.0,1.1099999999999999,Adult1,6,7,2.6415094339622587
8_Adult2_AA-BO-CM,AA-BO-CM,106.26,105.0,0.8699999999999999,Adult2,3,4,3.1746031746031615
