,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,1.96,Adult1,5.633802816901409,PREGAME,0,10,2.9645690849096145
1,4.61,Adult2,6.45161290322581,PREGAME,0,8,2.8950706954498386
2,7.525,Adult1,8.840996168582373,PREGAME,0,2,3.599489719830247
3,16.49,Adult2,6.467661691542284,PREGAME,0,15,3.3888978559436627
4,19.01,Adult1,5.555555555555564,PREGAME,0,10,3.946711942052469
5,20.62,Adult2,2.538071065989849,PREGAME,0,4,4.151425089059129
6,22.45,Adult1,3.833865814696485,GAME,SPEAKER1 ,5,4.242220216284148
7,29.38,Adult2,4.444444444444434,GAME,SPEAKER1 ,15,4.5345668515112365
8,31.36,Adult1,2.816901408450701,GAME,SPEAKER1 ,4,4.35579205046927
9,33.0,Adult2,6.153846153846168,GAME,SPEAKER1 ,2,5.264623831568216
10,36.51,Adult1,5.714285714285691,GAME,SPEAKER1 ,3,4.029491230334074
11,35.04,Adult2,4.444444444444416,GAME,SPEAKER1 ,2,4.726167352004899
12,39.18,Adult1,3.1249999999999973,GAME,SPEAKER1 ,2,3.4734839288955306
13,37.61,Adult2,6.862745098039195,GAME,SPEAKER1 ,5,4.164770979569384
14,45.05,Adult1,2.659574468085105,GAME,SPEAKER1 ,2,3.931468795482563
15,42.6,Adult2,3.4482758620689755,GAME,SPEAKER1 ,5,4.567694590197607
16,58.13,Adult1,1.0221465076660992,GAME,SPEAKER1 ,18,3.824030519947155
17,55.095,Adult2,6.57051282051281,GAME,SPEAKER1 ,5,4.140534096370447
18,64.84,Adult1,2.697095435684647,GAME,SPEAKER2 ,4,4.128610634745822
19,61.25,Adult2,1.6055045871559634,GAME,SPEAKER2 ,4,4.2713710014009
20,76.69,Adult1,3.83693045563549,GAME,SPEAKER2 ,5,3.836922779851796
21,76.88,Adult2,1.4150943396226383,GAME,SPEAKER2 ,20,4.15694763494502
22,81.09,Adult1,9.67741935483886,GAME,SPEAKER2 ,13,3.882003154551239
23,79.0,Adult2,6.164383561643862,GAME,SPEAKER2 ,3,3.577772070329737
24,87.46666666666665,Adult1,2.866921334877805,GAME,SPEAKER2 ,7,4.3595205842960505
25,100.0,Adult2,0.6,GAME,SPEAKER2 ,4,3.44715556040288
26,110.596,Adult1,5.558122441638706,GAME,SPEAKER2 ,7,4.648879153041332
27,124.01,Adult2,7.331378299120242,GAME,SPEAKER2 ,9,2.925462591373101
28,136.405,Adult1,3.0890950202394527,GAME,SPEAKER2 ,17,4.691082224290047
29,147.02,Adult2,3.414634146341492,GAME,SPEAKER2 ,3,3.0054711256167517
30,153.60500000000002,Adult1,3.5307233722949873,GAME,SPEAKER2 ,7,4.576283097859104
31,161.0,Adult2,1.6501650165016497,GAME,SPEAKER2 ,5,3.4278687568491404
32,170.98000000000002,Adult1,6.957231335788409,GAME,SPEAKER2 ,10,4.996740776381252
33,178.1,Adult2,2.272727272727264,GAME,SPEAKER1 ,2,2.8755632446947823
34,196.1,Adult1,3.6263736263736286,GAME,SPEAKER1 ,11,5.103021462245722
35,187.12,Adult2,1.8752760992448003,GAME,SPEAKER1 ,21,3.631941845517883
36,212.0,Adult1,3.076923076923084,GAME,SPEAKER1 ,4,5.146827963439303
37,207.17,Adult2,2.32558139534882,GAME,SPEAKER1 ,5,3.084866996159598
38,222.56,Adult1,2.8037383177570026,GAME,SPEAKER2 ,6,5.128949035412309
39,215.635,Adult2,5.216673020714134,GAME,SPEAKER2 ,2,3.32012041252354
40,234.32,Adult1,13.461538461538195,GAME,SPEAKER2 ,7,5.261302941407989
41,233.0,Adult2,1.193633952254643,GAME,SPEAKER2 ,12,3.541375030982585
42,239.63666666666666,Adult1,3.8234475076580345,GAME,SPEAKER2 ,7,4.856601362661701
43,251.02,Adult2,7.407407407407907,GAME,SPEAKER2 ,10,4.148386327770842
44,253.19,Adult1,5.952380952380929,GAME,SPEAKER2 ,12,4.753200270813881
45,255.53,Adult2,2.40770465489567,GAME,SPEAKER2 ,9,3.983968702153442
46,261.35,Adult1,2.928184667996514,GAME,SPEAKER2 ,6,4.686802022597456
47,267.0,Adult2,5.531914893616968,GAME,SPEAKER2 ,7,4.230150246583002
48,271.345,Adult1,4.721908526256103,GAME,SPEAKER2 ,6,4.514164431735564
49,277.0,Adult2,3.64145658263306,GAME,SPEAKER1 ,5,4.35759061801879
50,295.5,Adult1,3.314917127071819,GAME,SPEAKER1 ,27,3.919338836909988
51,288.29333333333335,Adult2,7.735828943821571,GAME,SPEAKER1 ,6,4.699813981458493
52,310.19,Adult1,2.6957637997432533,GAME,SPEAKER1 ,4,4.0130298545776135
53,301.25,Adult2,0.3955174686882,GAME,SPEAKER1 ,3,4.559029922545732
54,322.23,Adult1,2.4793388429752485,GAME,SPEAKER1 ,8,3.716617696851589
55,318.96000000000004,Adult2,4.541215295214862,GAME,SPEAKER1 ,6,5.069284960890657
56,328.12,Adult1,1.2499999999999822,GAME,SPEAKER1 ,7,4.129660469324544
57,326.14,Adult2,6.363636363636232,GAME,SPEAKER1 ,4,5.3038846507010895
58,334.18,Adult1,8.10810810810801,GAME,SPEAKER1 ,11,3.860431808041936
59,330.125,Adult2,4.273644223211972,GAME,SPEAKER1 ,2,5.300194744039685
60,335.03,Adult1,4.666666666666667,GAME,SPEAKER1 ,2,3.711694858920649
61,338.05,Adult2,6.140350877193056,GAME,SPEAKER1 ,2,4.6898793785268
62,340.0,Adult1,3.2846715328467044,GAME,SPEAKER1 ,9,3.8834168502913853
63,341.0,Adult2,7.0,GAME,SPEAKER1 ,12,5.155192252376263
64,343.0,Adult1,6.645569620253112,GAME,SPEAKER1 ,4,4.011975160667864
65,346.21,Adult2,7.643312101910861,GAME,SPEAKER1 ,3,4.764322976559668
66,349.12,Adult1,2.2988505747126315,GAME,SPEAKER1 ,9,4.104197382890089
67,350.68,Adult2,3.608247422680416,GAME,SPEAKER1 ,2,4.442811330126898
68,356.11,Adult1,1.976284584980236,GAME,SPEAKER2 ,4,4.559343604626639
69,358.65,Adult2,2.242990654205598,GAME,SPEAKER2 ,5,4.2016564695490635
70,366.1,Adult1,4.24126172207988,GAME,SPEAKER2 ,7,4.421777467060501
71,372.29,Adult2,4.583333333333377,GAME,SPEAKER2 ,7,4.040228594305402
72,375.34,Adult1,3.636363636363561,GAME,SPEAKER2 ,5,4.3334995611973826
73,377.1,Adult2,1.0233918128655008,GAME,SPEAKER2 ,5,3.8236180443615138
74,378.06,Adult1,2.08,GAME,SPEAKER2 ,6,4.028003369625245
75,384.0,Adult2,3.470031545741308,GAME,SPEAKER2 ,18,3.535528371983086
76,391.74,Adult1,12.204424103736958,GAME,SPEAKER2 ,9,4.350962133774377
77,396.33,Adult2,2.103250478011465,GAME,SPEAKER1 ,5,3.5564342639012327
78,403.0,Adult1,3.4285714285714284,GAME,SPEAKER1 ,4,4.559441214877451
79,407.04,Adult2,4.6875000000001,GAME,SPEAKER1 ,3,3.411055240017537
80,408.32,Adult1,2.4901703800786383,GAME,SPEAKER1 ,2,4.375590476960954
81,414.0,Adult2,5.050505050505004,GAME,SPEAKER1 ,2,3.7058895480097145
82,420.03,Adult1,3.896103896103873,GAME,SPEAKER1 ,4,4.18399961615404
83,417.25,Adult2,5.050505050505004,GAME,SPEAKER1 ,2,3.78216487793121
84,437.06,Adult1,5.205479452054827,GAME,SPEAKER1 ,3,5.1224791483177965
85,425.245,Adult2,3.796400449943743,GAME,SPEAKER1 ,6,3.6526176117666185
86,449.17,Adult1,3.852596314907892,GAME,SPEAKER1 ,7,3.917489427493045
87,446.97,Adult2,0.9345794392523368,GAME,SPEAKER1 ,7,3.561831295703179
88,460.05,Adult1,2.5866050808314114,GAME,SPEAKER1 ,11,3.7876356027239693
89,457.02,Adult2,7.236842105262974,GAME,SPEAKER1 ,8,3.1348946759848597
90,490.77,Adult1,1.912045889101332,GAME,SPEAKER1 ,5,3.791285327472265
91,483.65999999999997,Adult2,1.7098697821589615,GAME,SPEAKER1 ,6,4.007419204423624
92,504.07,Adult1,10.52631578947381,GAME,SPEAKER1 ,9,4.776824610883809
93,500.315,Adult2,2.3041061502599836,GAME,SPEAKER1 ,8,4.013145400626005
94,506.24,Adult1,1.3595166163141983,GAME,SPEAKER1 ,5,4.9235105123506315
95,508.78,Adult2,1.2861736334405087,GAME,SPEAKER1 ,2,4.1660357720881915
96,513.46,Adult1,2.2598870056497407,GAME,SPEAKER1 ,9,5.063829431007332
97,516.37,Adult2,0.8450704225352221,GAME,SPEAKER2 ,2,4.60255159933776
98,519.0,Adult1,2.5230179028133075,GAME,SPEAKER2 ,6,5.271255677086811
99,522.69,Adult2,12.903225806453884,GAME,SPEAKER2 ,11,4.337429839714841
100,525.0,Adult1,12.76595744680777,GAME,SPEAKER2 ,7,5.328166403213596
101,523.0,Adult2,5.102040816326436,GAME,SPEAKER2 ,4,4.625913207885395
102,530.41,Adult1,6.52565256525623,GAME,SPEAKER2 ,2,4.312508029740015
103,537.11,Adult2,5.172413793103421,GAME,SPEAKER2 ,10,4.925456968967607
104,548.88,Adult1,5.115466582818189,GAME,SPEAKER2 ,4,4.7580203520138244
105,556.68,Adult2,4.86322188449845,GAME,SPEAKER2 ,2,5.372826565251987
106,565.58,Adult1,4.453441295546715,GAME,SPEAKER2 ,16,4.59498872669798
107,569.05,Adult2,4.850746268656704,GAME,SPEAKER2 ,2,5.413421885570337
108,574.05,Adult1,2.424242424242402,GAME,SPEAKER2 ,5,4.539410804646769
109,576.19,Adult2,4.3062200956939485,GAME,SPEAKER2 ,9,4.834430983998568
110,579.0,Adult1,1.3853904282115774,GAME,SPEAKER2 ,2,3.2355186255627424
111,581.4,Adult2,4.999999999999897,GAME,SPEAKER2 ,5,4.383398989692339
112,587.0,Adult1,5.369127516778491,GAME,SPEAKER2 ,12,3.584632086757818
113,590.31,Adult2,5.3124999999999245,GAME,SPEAKER2 ,7,4.046994359121121
114,594.29,Adult1,0.7926023778071282,GAME,SPEAKER2 ,17,3.744844360798039
115,598.54,Adult2,1.2104283054003715,GAME,SPEAKER2 ,9,4.062191927510192
116,607.51,Adult1,2.0228166043524083,GAME,SPEAKER2 ,34,3.2994735343558226
117,620.0,Adult2,7.692307692307962,GAME,SPEAKER2 ,2,4.048154503083776
118,625.28,Adult1,1.0309278350515416,GAME,SPEAKER2 ,7,3.1219406295501946
119,626.24,Adult2,1.0427528675703823,GAME,SPEAKER2 ,10,3.713240010682525
120,631.14,Adult1,9.667673716011912,GAME,SPEAKER2 ,3,3.4070492243216774
121,636.09,Adult2,2.144772117962456,GAME,SPEAKER2 ,6,3.49453572622444
122,638.25,Adult1,6.5573770491801815,GAME,SPEAKER2 ,3,2.936352025695757
123,643.47,Adult2,5.000000000000081,GAME,SPEAKER2 ,6,3.5583459987611468
124,648.14,Adult1,0.4451038575667649,GAME,SPEAKER1 ,6,3.013029740627308
125,651.15,Adult2,4.724409448818966,GAME,SPEAKER1 ,6,3.691622558875008
126,656.34,Adult1,0.8264462809917495,GAME,SPEAKER1 ,2,3.8299390068102115
127,657.0,Adult2,1.2919896640826858,GAME,SPEAKER1 ,5,3.014226668713131
128,685.05,Adult1,3.9513677811549215,GAME,SPEAKER1 ,8,3.998061615266106
