,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,2.35,Adult1,1.6585365853658536,PREGAME,0,15,1.359865783374644
1,13.4,Adult2,4.761904761904763,PREGAME,0,12,1.7588566990873864
2,15.87,Adult1,1.3986013986013983,PREGAME,0,8,1.5646788914135594
3,23.64,Adult2,0.2813731007315701,PREGAME,0,5,2.609468076014551
4,26.0,Adult1,3.5868625756266206,PREGAME,0,61,2.3398726898631765
5,50.0,Adult2,1.986183074265976,PREGAME,0,18,3.211482121162836
6,55.96,Adult1,3.378042722305017,PREGAME,0,53,3.143085541268815
7,72.42,Adult2,2.0517830972154374,PREGAME,0,28,3.766069771836694
8,81.8,Adult1,2.2167487684729053,PREGAME,0,22,3.8677232224282374
9,94.29,Adult2,6.74846625766873,GAME,SPEAKER1 ,9,4.2482087155140995
10,101.4,Adult1,1.843317972350241,GAME,SPEAKER1 ,12,4.5004348436621
11,98.24,Adult2,7.655502392344485,GAME,SPEAKER1 ,4,4.009157271643378
12,117.26,Adult1,6.976744186046555,GAME,SPEAKER1 ,10,4.67358904907437
13,107.71000000000001,Adult2,5.4181264063345616,GAME,SPEAKER1 ,22,4.292923193880966
14,135.21,Adult1,7.228915662650741,GAME,SPEAKER1 ,6,4.606174590708206
15,127.3775,Adult2,4.99128885606472,GAME,SPEAKER1 ,13,4.24767478212042
16,142.8,Adult1,6.5217391304348045,GAME,SPEAKER1 ,11,4.6937994734150585
17,136.88,Adult2,4.339250493096653,GAME,SPEAKER1 ,3,4.300992834609846
18,151.18,Adult1,7.352941176470617,GAME,SPEAKER1 ,5,4.614893092151382
19,145.04,Adult2,2.610441767068264,GAME,SPEAKER1 ,6,3.59313156434742
20,162.26,Adult1,2.956989247311829,GAME,SPEAKER1 ,14,4.781689051373711
21,157.25,Adult2,2.83526640086987,GAME,SPEAKER1 ,6,3.389769378358766
22,180.71,Adult1,2.980132450331144,GAME,SPEAKER2 ,10,4.27316191959076
23,169.82,Adult2,1.5789473684210538,GAME,SPEAKER2 ,9,3.602570148025296
24,188.55,Adult1,4.166666666666699,GAME,SPEAKER2 ,10,3.5981832086392216
25,184.91,Adult2,2.531645569620278,GAME,SPEAKER2 ,5,3.454796634142691
26,195.02,Adult1,1.506591337099811,GAME,SPEAKER2 ,18,3.0373456912799632
27,192.1,Adult2,0.3777148253068931,GAME,SPEAKER2 ,12,2.997201009423246
28,207.05,Adult1,3.3444816053511923,GAME,SPEAKER2 ,7,2.3375315534465466
29,203.43,Adult2,5.825242718446596,GAME,SPEAKER2 ,2,2.8356040757669776
30,213.3,Adult1,2.4,GAME,SPEAKER2 ,9,2.0993726728601096
31,210.51,Adult2,7.333333333333333,GAME,SPEAKER2 ,3,2.718987174083024
32,219.12,Adult1,1.1541072640868983,GAME,SPEAKER2 ,7,2.8671479439466756
33,228.41,Adult2,3.6613272311212777,GAME,SPEAKER2 ,5,3.8566798907230813
34,236.11,Adult1,1.4742014742014766,GAME,SPEAKER2 ,10,3.1652199885940404
35,241.31,Adult2,0.2208898706216472,GAME,SPEAKER2 ,8,3.828733748894118
36,244.48,Adult1,1.0546139359698687,GAME,SPEAKER2 ,6,3.130096083413638
37,273.08,Adult2,1.1560693641618471,GAME,SPEAKER2 ,14,4.726936375142062
38,275.12,Adult1,0.8135593220338984,GAME,SPEAKER2 ,11,2.8113760813381674
39,280.0,Adult2,1.7857142857142858,GAME,SPEAKER2 ,5,4.462535576240304
40,295.55,Adult1,9.890109890110235,GAME,SPEAKER2 ,7,2.705309717170667
41,294.0,Adult2,11.818181818181571,GAME,SPEAKER2 ,22,4.119101232805968
42,301.52,Adult1,6.84931506849298,GAME,SPEAKER2 ,6,3.1943595273338277
43,297.42,Adult2,2.280130293159614,GAME,SPEAKER2 ,11,4.405299356489146
44,304.1,Adult1,1.1904761904761958,GAME,SPEAKER2 ,19,3.684154134775433
45,312.82,Adult2,8.461538461538387,GAME,SPEAKER2 ,12,4.693072994708839
46,328.43,Adult1,0.4760015866719559,GAME,SPEAKER2 ,7,3.6907754894603038
47,332.09,Adult2,3.44563552833078,GAME,SPEAKER2 ,6,5.179060167252039
48,363.67999999999995,Adult1,1.4454027224924968,GAME,SPEAKER2 ,3,3.8718921228516923
49,378.61,Adult2,4.242424242424301,GAME,SPEAKER1 ,5,5.270863057562392
50,395.68,Adult1,5.555555555555345,GAME,SPEAKER1 ,8,3.630991881951402
51,387.5825,Adult2,6.237110344269885,GAME,SPEAKER1 ,9,4.462701039045086
52,435.39,Adult1,5.88235294117592,GAME,SPEAKER1 ,69,2.896704854868541
53,415.9216666666666,Adult2,2.810852614598881,GAME,SPEAKER1 ,3,4.3319806545844
54,444.82,Adult1,1.1142061281337037,GAME,SPEAKER1 ,14,2.993262674538488
55,439.0,Adult2,5.52995391705065,GAME,SPEAKER1 ,6,4.626377615647989
56,452.08,Adult1,2.443609022556394,GAME,SPEAKER1 ,6,3.2267696922988507
57,447.49,Adult2,2.611940298507456,GAME,SPEAKER1 ,2,4.640354620436671
58,471.59,Adult1,7.7220077220076275,GAME,SPEAKER1 ,9,3.412489736120029
59,459.83500000000004,Adult2,4.544723651525826,GAME,SPEAKER1 ,6,4.418662039193519
60,483.23,Adult1,0.2407318247472318,GAME,SPEAKER1 ,2,3.2441395677698797
61,477.22,Adult2,1.103646833013437,GAME,SPEAKER1 ,8,3.8367620009524224
62,504.17,Adult1,2.059496567505718,GAME,SPEAKER2 ,7,2.8982371042204185
63,509.52,Adult2,11.11111111111069,GAME,SPEAKER2 ,23,4.033350896192049
64,517.22,Adult1,2.5775647465152223,GAME,SPEAKER2 ,8,2.862619844833427
65,531.98,Adult2,3.57142857142892,GAME,SPEAKER2 ,6,4.080287233450946
66,536.0,Adult1,3.1168831168830984,GAME,SPEAKER2 ,7,2.8910527762497606
67,533.0,Adult2,2.247191011235932,GAME,SPEAKER2 ,2,3.81702945575364
68,541.75,Adult1,4.040404040404003,GAME,SPEAKER2 ,8,2.121704400518417
69,538.0,Adult2,1.0000100001000136,GAME,SPEAKER2 ,6,3.4475615161532076
70,546.42,Adult1,2.769230769230769,GAME,SPEAKER2 ,5,2.337254793130443
71,550.31,Adult2,4.580152671755519,GAME,SPEAKER2 ,5,3.796632203470372
72,552.66,Adult1,0.7936507936507815,GAME,SPEAKER2 ,8,2.693217162822762
73,553.77,Adult2,5.952380952380727,GAME,SPEAKER2 ,19,2.8068351077543197
74,570.125,Adult1,2.699505405303402,GAME,SPEAKER2 ,16,2.54532523500128
75,577.72,Adult2,0.2426202992317022,GAME,SPEAKER2 ,18,2.8242397304220566
76,591.17,Adult1,0.7978723404255303,GAME,SPEAKER2 ,4,2.3826773782730544
77,603.28,Adult2,1.2195121951219332,GAME,SPEAKER2 ,7,3.0557243119220407
78,619.69,Adult1,2.1806853582554657,GAME,SPEAKER2 ,2,2.2025608003070167
79,626.0,Adult2,4.245283018867916,GAME,SPEAKER2 ,2,3.5934360961769434
80,640.13,Adult1,5.26315789473659,GAME,SPEAKER2 ,3,1.9828179321848993
81,641.23,Adult2,2.2029372496662187,GAME,SPEAKER2 ,3,3.3352424944719137
82,651.75,Adult1,1.2465373961218789,GAME,SPEAKER2 ,6,2.4243871088471063
83,658.76,Adult2,3.728070175438549,GAME,SPEAKER2 ,2,2.9207804133431914
84,671.23,Adult1,1.6530524063290715,GAME,SPEAKER2 ,8,2.4804887182025923
85,686.29,Adult2,4.3305522447357845,GAME,SPEAKER2 ,10,2.92393401454268
86,712.92,Adult1,2.41935483870966,GAME,SPEAKER2 ,3,2.4784466058593035
87,718.0,Adult2,5.839416058394141,GAME,SPEAKER2 ,6,3.2342925321405955
88,727.145,Adult1,0.7915449561317106,GAME,SPEAKER2 ,8,2.6314051497158593
89,753.13,Adult2,2.2564102564102564,GAME,SPEAKER2 ,4,3.3538758235217494
90,771.0699999999999,Adult1,4.767773383610643,GAME,SPEAKER2 ,2,2.26850331920272
91,781.28,Adult2,2.2222222222222223,GAME,SPEAKER2 ,4,3.14974551219169
92,791.26,Adult1,3.2044198895027787,GAME,SPEAKER2 ,7,2.428684946634815
93,800.84,Adult2,0.2710027100271004,GAME,SPEAKER2 ,2,3.402182159365185
94,803.46,Adult1,0.7794933293359325,GAME,SPEAKER2 ,4,2.756783183757129
95,823.3,Adult2,4.012738853503173,POSTGAME,0,11,3.622764073692796
96,881.71,Adult1,3.5573122529644654,POSTGAME,0,3,3.4093751935482173
97,848.4200000000001,Adult2,5.321532641298303,POSTGAME,0,10,3.512660605925104
98,888.19,Adult1,1.997041420118346,POSTGAME,0,40,3.321425753978027
99,887.2,Adult2,0.365764447695685,POSTGAME,0,4,3.2619483552128536
100,903.27,Adult1,2.688172043010733,POSTGAME,0,25,2.7916731557990673
101,902.03,Adult2,6.0,POSTGAME,0,7,3.0150347749659403
102,914.41,Adult1,4.605936540429896,POSTGAME,0,11,2.4356265014098692
