,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,11.57,Adult1,1.457725947521866,PREGAME,0,3,1.6723361386796283
1,1.9,Adult2,0.8179959100204498,PREGAME,0,4,1.6354882456801019
2,15.24,Adult1,3.5190615835777144,PREGAME,0,2,2.3314698486608
3,14.0,Adult2,0.7968127490039847,PREGAME,0,11,2.1185800331197147
4,20.53,Adult1,3.794369645042841,PREGAME,0,25,2.449359621722987
5,29.48,Adult2,5.769230769230774,PREGAME,0,2,2.3310295763531963
6,32.57,Adult1,2.247610007458135,PREGAME,0,9,2.6761169913374996
7,55.06,Adult2,3.2490974729241926,GAME,SPEAKER1 ,19,2.564413645353704
8,79.77,Adult1,4.0322580645161,GAME,SPEAKER1 ,8,3.395991795719347
9,70.68333333333334,Adult2,4.086257309941516,GAME,SPEAKER1 ,3,2.6246239181525546
10,86.92,Adult1,5.932203389830546,GAME,SPEAKER1 ,2,3.424498436470886
11,83.56,Adult2,4.3478260869565135,GAME,SPEAKER1 ,3,3.8488186828470123
12,98.29,Adult1,1.061007957559683,GAME,SPEAKER1 ,5,3.16919982116242
13,90.05,Adult2,1.912045889101337,GAME,SPEAKER1 ,2,3.8389466664876704
14,109.9,Adult1,2.0408163265306136,GAME,SPEAKER1 ,5,2.856180826943038
15,101.81,Adult2,2.100456621004566,GAME,SPEAKER1 ,10,3.507223904358057
16,122.05,Adult1,6.478873239436625,GAME,SPEAKER1 ,4,3.4694453029212586
17,115.1,Adult2,0.5418924551896621,GAME,SPEAKER1 ,16,3.2941818660697355
18,130.82,Adult1,1.7142857142857142,GAME,SPEAKER1 ,24,3.4673475097996245
19,150.86,Adult2,11.83574879227057,GAME,SPEAKER1 ,9,3.2675037034266574
20,156.42,Adult1,1.2213740458015243,GAME,SPEAKER1 ,16,3.3022490266781155
21,155.0,Adult2,0.7079646017699108,GAME,SPEAKER1 ,6,2.828416316427089
22,168.01,Adult1,0.977198697068397,GAME,SPEAKER1 ,41,3.277469123262111
23,168.06,Adult2,2.783725910064247,GAME,SPEAKER1 ,7,2.8286196174253986
24,173.92,Adult1,7.766990291262127,GAME,SPEAKER1 ,7,3.175836878772724
