,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,3.323333333333333,Adult1,4.679157711117341,PREGAME,0,2,2.257305876831146
1,11.49,Adult2,4.245283018867927,PREGAME,0,4,2.7146926776306834
2,13.34,Adult1,3.3653846153846154,PREGAME,0,22,2.699721977141988
3,22.74,Adult2,4.615384615384613,PREGAME,0,7,3.111518074456086
4,26.93,Adult1,3.675344563552832,PREGAME,0,22,3.2877000819843607
5,33.0,Adult2,6.250000000000022,PREGAME,0,5,3.6670736300116467
6,34.61,Adult1,1.6393442622950816,PREGAME,0,15,4.437125369340658
7,48.13,Adult2,4.591836734693875,PREGAME,0,4,3.9458470270646124
8,52.0,Adult1,6.956521739130444,PREGAME,0,18,4.611076228223023
9,53.76,Adult2,4.729729729729717,PREGAME,0,6,4.417227498445083
10,62.28,Adult1,3.981744902797576,PREGAME,0,6,4.627232194044293
11,69.54,Adult2,3.5714285714286174,PREGAME,0,6,4.768574652727237
12,72.33,Adult1,5.291802943581354,PREGAME,0,7,5.088722458166138
13,86.36,Adult2,5.000000000000047,PREGAME,0,4,4.5642273610881166
14,87.74,Adult1,10.344827586206671,GAME,SPEAKER1 ,2,5.1582480920843965
15,90.66,Adult2,2.508960573476697,GAME,SPEAKER1 ,4,4.143393652906488
16,95.0,Adult1,1.5655577299412915,GAME,SPEAKER1 ,42,5.451077525196647
17,98.75,Adult2,4.242424242424228,GAME,SPEAKER1 ,2,3.9269019317235365
18,101.1,Adult1,4.82456140350877,GAME,SPEAKER1 ,3,4.980790580315673
19,104.64,Adult2,7.407407407407321,GAME,SPEAKER1 ,5,3.880131642583409
20,127.33,Adult1,7.518796992481213,GAME,SPEAKER1 ,6,5.581045259517637
21,115.255,Adult2,2.7762589906325226,GAME,SPEAKER1 ,5,3.8908042082681966
22,148.72,Adult1,4.301075268817173,GAME,SPEAKER1 ,9,5.64666192591708
23,136.19333333333336,Adult2,2.462496626365364,GAME,SPEAKER1 ,3,3.518147601043684
24,179.13,Adult1,4.274809160305336,GAME,SPEAKER1 ,15,5.161108057149182
25,161.27666666666667,Adult2,2.64341124404732,GAME,SPEAKER1 ,10,3.938186223557453
26,187.74,Adult1,2.723939235201676,GAME,SPEAKER1 ,9,5.2093794204890385
27,201.39,Adult2,4.308797127468565,GAME,SPEAKER1 ,10,3.822788098881196
28,208.425,Adult1,9.384037015615254,GAME,SPEAKER1 ,4,5.492989173468921
29,212.11,Adult2,3.6674816625917095,GAME,SPEAKER1 ,7,3.5623129772949733
30,217.14,Adult1,5.882352941176341,GAME,SPEAKER1 ,2,5.299542594057428
31,219.02,Adult2,1.6460905349794288,GAME,SPEAKER1 ,13,3.637125463526258
32,224.0,Adult1,5.974842767295585,GAME,SPEAKER1 ,5,5.130287317275261
33,232.07,Adult2,6.289308176100615,GAME,SPEAKER1 ,9,3.686000801728404
34,257.36,Adult1,2.0,GAME,SPEAKER1 ,22,5.016645468388582
35,241.30666666666664,Adult2,3.2038411203379202,GAME,SPEAKER1 ,39,3.594748987122831
