,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,0.0,Adult1,4.867256637168142,PREGAME,0,8,2.5558156640001286
1,2.35,Adult2,3.5087719298245625,PREGAME,0,2,2.6330271853514216
2,3.23,Adult1,4.504504504504505,PREGAME,0,4,3.250260108444588
3,4.84,Adult2,4.5588235294117645,PREGAME,0,25,2.9116757398620443
4,12.39,Adult1,3.5904255319148937,PREGAME,0,19,3.9125117640737246
5,20.62,Adult2,6.103286384976529,PREGAME,0,20,3.5652705111038676
6,26.13,Adult1,6.020546459276364,PREGAME,0,3,4.12728839637613
7,34.18,Adult2,2.859696157283289,PREGAME,0,5,3.7321457718464623
8,61.0,Adult1,4.019607843137254,PREGAME,0,25,4.53721288397052
9,46.0,Adult2,6.666666666666651,PREGAME,0,30,4.235561809243082
10,86.18,Adult1,6.250000000000133,GAME,SPEAKER1 ,3,4.6255899912195755
11,82.35,Adult2,2.5078369905956017,GAME,SPEAKER1 ,67,4.124638289378799
12,90.36,Adult1,5.960264900662232,GAME,SPEAKER1 ,5,4.760010125639711
13,88.16,Adult2,5.882352941176412,GAME,SPEAKER1 ,4,4.176761559543474
14,96.25,Adult1,1.932989690721648,GAME,SPEAKER1 ,4,4.860449735701601
15,92.74,Adult2,1.5018773466833524,GAME,SPEAKER1 ,6,4.266040455229942
16,108.88,Adult1,3.689320388349511,GAME,SPEAKER1 ,9,4.461187292006385
17,105.2,Adult2,4.530744336569574,GAME,SPEAKER1 ,10,4.33143820020613
18,125.26,Adult1,5.662650602409641,GAME,SPEAKER1 ,12,4.731410076460663
19,115.3,Adult2,2.5104602510460245,GAME,SPEAKER1 ,17,3.8051976739656053
20,141.08,Adult1,5.7142857142857295,GAME,SPEAKER1 ,18,4.8539590960685
21,136.97,Adult2,5.027932960893837,GAME,SPEAKER1 ,35,3.938071753199838
22,153.05,Adult1,4.494382022471907,GAME,SPEAKER1 ,15,4.489770033583924
23,146.22500000000002,Adult2,6.906796446154745,GAME,SPEAKER1 ,9,3.8456442097919092
24,159.4,Adult1,2.4271844660194146,GAME,SPEAKER1 ,5,4.978768193348056
25,157.73,Adult2,3.4482758620689755,GAME,SPEAKER1 ,23,3.9618545824534204
26,165.31,Adult1,6.451612903225759,GAME,SPEAKER1 ,12,5.206981843891806
27,163.0,Adult2,1.930501930501928,GAME,SPEAKER1 ,2,3.4972885839068395
28,167.03,Adult1,7.352941176470668,GAME,SPEAKER1 ,5,4.735404112268204
29,169.54,Adult2,3.7037037037036935,GAME,SPEAKER1 ,5,3.591527802431519
30,171.38,Adult1,2.68256333830104,GAME,SPEAKER1 ,4,4.243667898882505
31,176.58,Adult2,5.050505050505053,GAME,SPEAKER1 ,6,3.734622970519347
32,183.44,Adult1,6.333973128598839,GAME,SPEAKER1 ,5,3.862960534072217
33,190.25,Adult2,2.5477707006369537,GAME,SPEAKER2 ,16,3.0310173524859865
34,192.0,Adult1,5.743243243243255,GAME,SPEAKER2 ,22,4.364248427870516
35,199.85,Adult2,0.3496503496503497,GAME,SPEAKER2 ,24,3.338006714947606
36,210.19,Adult1,1.4184510177972234,GAME,SPEAKER2 ,3,4.306050888795032
37,219.01,Adult2,3.358613217768141,GAME,SPEAKER2 ,22,3.589241696721509
38,228.12,Adult1,1.2886597938144344,GAME,SPEAKER2 ,4,3.991930987961122
39,229.0,Adult2,6.315789473684286,GAME,SPEAKER2 ,18,3.7016576356957165
40,232.55,Adult1,1.0680157391793148,GAME,SPEAKER2 ,3,3.8840728646216
41,235.08,Adult2,0.5743458838544995,GAME,SPEAKER2 ,27,3.2793792967507085
42,252.15,Adult1,6.938775510204114,GAME,SPEAKER2 ,5,4.205939098196124
43,251.0,Adult2,6.21118012422355,GAME,SPEAKER2 ,6,3.776615970386472
44,258.49,Adult1,5.927835051546399,GAME,SPEAKER2 ,13,4.015070263259491
