UtteranceName,Speaker,Filename,Global_end,Global_start,Length,Speaker,UtteranceName,Word,syllables,Speech rate
0_Parent_CA-BO-IO,Parent,['CA-BO-IO'],44.04,12.3,18.60999999999999,['Parent'],['0_Parent_CA-BO-IO'],80,125,3.9382482671707626
120_Child_CA-BO-IO,Child,['CA-BO-IO'],50.87,46.21,0.4099999999999999,['Child'],['120_Child_CA-BO-IO'],2,1,0.21459227467811173
1_Parent_CA-BO-IO,Parent,['CA-BO-IO'],53.18,47.63,3.8499999999999996,['Parent'],['1_Parent_CA-BO-IO'],13,17,3.0630630630630646
2_Parent_CA-BO-IO,Parent,['CA-BO-IO'],60.52,55.03,3.58,['Parent'],['2_Parent_CA-BO-IO'],10,18,3.2786885245901627
122_Child_CA-BO-IO,Child,['CA-BO-IO'],70.8,63.35,1.97,['Child'],['122_Child_CA-BO-IO'],3,6,0.805369127516779
3_Parent_CA-BO-IO,Parent,['CA-BO-IO'],72.79,71.29,1.2999999999999998,['Parent'],['3_Parent_CA-BO-IO'],5,7,4.666666666666667
123_Child_CA-BO-IO,Child,['CA-BO-IO'],84.01,73.0,4.52,['Child'],['123_Child_CA-BO-IO'],9,16,1.4532243415077195
4_Parent_CA-BO-IO,Parent,['CA-BO-IO'],86.78,85.36,1.4199999999999995,['Parent'],['4_Parent_CA-BO-IO'],6,9,6.338028169014077
124_Child_CA-BO-IO,Child,['CA-BO-IO'],94.89,86.11,2.0100000000000002,['Child'],['124_Child_CA-BO-IO'],3,4,0.4555808656036446
5_Parent_CA-BO-IO,Parent,['CA-BO-IO'],89.72,88.9,0.7199999999999998,['Parent'],['5_Parent_CA-BO-IO'],4,5,6.097560975609807
125_Child_CA-BO-IO,Child,['CA-BO-IO'],97.64,96.78,0.86,['Child'],['125_Child_CA-BO-IO'],2,1,1.1627906976744193
6_Parent_CA-BO-IO,Parent,['CA-BO-IO'],106.16,103.02,2.9199999999999995,['Parent'],['6_Parent_CA-BO-IO'],15,22,7.006369426751591
126_Child_CA-BO-IO,Child,['CA-BO-IO'],110.92,108.35,1.7299999999999998,['Child'],['126_Child_CA-BO-IO'],5,6,2.334630350194546
7_Parent_CA-BO-IO,Parent,['CA-BO-IO'],113.07,111.25,1.4,['Parent'],['7_Parent_CA-BO-IO'],7,9,4.945054945054964
127_Child_CA-BO-IO,Child,['CA-BO-IO'],116.88,113.85,1.8699999999999999,['Child'],['127_Child_CA-BO-IO'],3,4,1.3201320132013197
8_Parent_CA-BO-IO,Parent,['CA-BO-IO'],125.83,118.36,4.2299999999999995,['Parent'],['8_Parent_CA-BO-IO'],22,31,4.149933065595717
9_Parent_CA-BO-IO,Parent,['CA-BO-IO'],167.0,146.45,3.3200000000000016,['Parent'],['9_Parent_CA-BO-IO'],12,17,0.8272506082725056
128_Child_CA-BO-IO,Child,['CA-BO-IO'],164.7,158.94,0.2700000000000031,['Child'],['128_Child_CA-BO-IO'],2,4,0.6944444444444455
10_Parent_CA-BO-IO,Parent,['CA-BO-IO'],171.17,167.0,2.339999999999999,['Parent'],['10_Parent_CA-BO-IO'],15,19,4.55635491606716
130_Child_CA-BO-IO,Child,['CA-BO-IO'],183.66,172.71,2.7199999999999998,['Child'],['130_Child_CA-BO-IO'],3,5,0.4566210045662105
11_Parent_CA-BO-IO,Parent,['CA-BO-IO'],179.26,176.57,1.9399999999999995,['Parent'],['11_Parent_CA-BO-IO'],8,10,3.717472118959111
131_Child_CA-BO-IO,Child,['CA-BO-IO'],198.18,184.28,3.4099999999999993,['Child'],['131_Child_CA-BO-IO'],3,7,0.503597122302158
12_Parent_CA-BO-IO,Parent,['CA-BO-IO'],222.92,188.09,10.859999999999996,['Parent'],['12_Parent_CA-BO-IO'],45,79,2.2681596325007187
132_Child_CA-BO-IO,Child,['CA-BO-IO'],233.23,224.6,3.37,['Child'],['132_Child_CA-BO-IO'],5,5,0.5793742757821556
13_Parent_CA-BO-IO,Parent,['CA-BO-IO'],239.0,230.31,2.8800000000000003,['Parent'],['13_Parent_CA-BO-IO'],5,5,0.5753739930955122
133_Child_CA-BO-IO,Child,['CA-BO-IO'],261.26,234.0,1.4600000000000022,['Child'],['133_Child_CA-BO-IO'],2,4,0.14673514306676455
14_Parent_CA-BO-IO,Parent,['CA-BO-IO'],264.7,239.14,7.3800000000000034,['Parent'],['14_Parent_CA-BO-IO'],41,49,1.9170579029733958
134_Child_CA-BO-IO,Child,['CA-BO-IO'],283.0,267.25,5.37,['Child'],['134_Child_CA-BO-IO'],15,18,1.1428571428571428
15_Parent_CA-BO-IO,Parent,['CA-BO-IO'],280.93,277.98,2.05,['Parent'],['15_Parent_CA-BO-IO'],10,9,3.0508474576271305
135_Child_CA-BO-IO,Child,['CA-BO-IO'],284.02,283.45,0.57,['Child'],['135_Child_CA-BO-IO'],2,3,5.263157894736905
16_Parent_CA-BO-IO,Parent,['CA-BO-IO'],285.0,284.59,0.4099999999999998,['Parent'],['16_Parent_CA-BO-IO'],4,6,14.634146341462522
17_Parent_CA-BO-IO,Parent,['CA-BO-IO'],288.27,285.11,2.4099999999999997,['Parent'],['17_Parent_CA-BO-IO'],3,7,2.215189873417744
138_Child_CA-BO-IO,Child,['CA-BO-IO'],318.12,290.0,0.9500000000000031,['Child'],['138_Child_CA-BO-IO'],3,3,0.10668563300142246
19_Parent_CA-BO-IO,Parent,['CA-BO-IO'],320.11,291.35,5.88,['Parent'],['19_Parent_CA-BO-IO'],16,25,0.8692628650904036
20_Parent_CA-BO-IO,Parent,['CA-BO-IO'],330.78,327.0,1.4099999999999997,['Parent'],['20_Parent_CA-BO-IO'],5,9,2.3809523809523983
139_Child_CA-BO-IO,Child,['CA-BO-IO'],336.75,333.36,0.9500000000000002,['Child'],['139_Child_CA-BO-IO'],3,5,1.4749262536873216
21_Parent_CA-BO-IO,Parent,['CA-BO-IO'],337.25,335.02,2.0099999999999993,['Parent'],['21_Parent_CA-BO-IO'],9,15,6.726457399103084
140_Child_CA-BO-IO,Child,['CA-BO-IO'],341.03,339.23,1.52,['Child'],['140_Child_CA-BO-IO'],3,5,2.777777777777848
22_Parent_CA-BO-IO,Parent,['CA-BO-IO'],342.56,342.12,0.44,['Parent'],['22_Parent_CA-BO-IO'],2,2,4.545454545454569
