,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,26.91,Child,3.409090909090906,PREGAME,0,71,2.0918488754202227
1,0.05,Parent,3.3801747056589444,PREGAME,0,6,2.577349452994177
2,39.58,Child,4.54545454545454,GAME,SPEAKER1 ,2,2.1850238113624543
3,31.290000000000003,Parent,7.630090497737572,GAME,SPEAKER1 ,13,3.1471500227947464
4,45.42,Child,5.409638554216873,GAME,SPEAKER1 ,7,2.311862979297513
5,49.22,Parent,3.846153846153823,GAME,SPEAKER1 ,3,3.5638166894614147
6,53.155,Child,1.3528668289237993,GAME,SPEAKER1 ,5,2.6702859183656136
7,59.7,Parent,2.739726027397259,GAME,SPEAKER1 ,3,4.262229387874113
8,69.0,Child,4.109589041095888,GAME,SPEAKER1 ,2,3.1397694864407306
9,73.02,Parent,5.6,GAME,SPEAKER1 ,3,4.779506441464015
10,76.23,Child,0.8385744234800846,GAME,SPEAKER1 ,14,2.9171096326333354
11,77.85,Parent,5.128205128205121,GAME,SPEAKER1 ,14,5.197582267819371
12,81.62,Child,1.1415525114155265,GAME,SPEAKER1 ,12,2.884872366353518
13,83.59,Parent,3.750000000000013,GAME,SPEAKER1 ,6,4.984715069658053
14,86.0,Child,3.225806451612909,GAME,SPEAKER1 ,4,2.7111518432354074
15,89.37,Parent,6.285714285714286,GAME,SPEAKER1 ,6,5.706789929663945
16,91.35,Child,4.225352112676052,GAME,SPEAKER1 ,5,2.6161813072417983
17,93.35,Parent,4.6554934823091205,GAME,SPEAKER1 ,6,5.680153704397582
18,99.6,Child,1.4051522248243526,GAME,SPEAKER1 ,4,2.408316521581061
19,102.7,Parent,7.142857142857154,GAME,SPEAKER1 ,8,5.800127509243685
20,109.54,Child,4.255319148936181,GAME,SPEAKER1 ,5,2.528304388729691
21,111.51,Parent,5.714285714285714,GAME,SPEAKER1 ,20,5.919388093620554
22,114.95,Child,3.846153846153876,GAME,SPEAKER1 ,5,2.4970446712127923
23,117.0,Parent,10.344827586206842,GAME,SPEAKER1 ,15,6.019517292586962
24,119.47,Child,0.49813200498132,GAME,SPEAKER1 ,3,2.239326666686483
25,125.25,Parent,2.4999999999999942,GAME,SPEAKER1 ,9,5.804196381613876
26,129.5,Child,2.238805970149248,GAME,SPEAKER1 ,4,1.8235199638824349
27,131.41,Parent,6.679764243614927,GAME,SPEAKER1 ,7,5.961597801563929
28,135.43,Child,1.918465227817752,GAME,SPEAKER1 ,4,1.9021337229395077
29,137.65,Parent,6.201550387596938,GAME,SPEAKER1 ,8,5.372195373926207
30,140.79,Child,0.8602150537634398,GAME,SPEAKER1 ,3,1.5922400019270484
31,143.21,Parent,4.651162790697689,GAME,SPEAKER1 ,24,5.2385278718376584
32,147.68,Child,0.9063444108761324,GAME,SPEAKER1 ,7,1.404697728053838
33,149.2,Parent,4.3478260869565135,GAME,SPEAKER1 ,7,4.684340679719436
34,153.76,Child,0.4830917874396129,GAME,SPEAKER1 ,4,1.5314990899775895
35,154.99,Parent,6.072106261859603,GAME,SPEAKER1 ,13,4.856145432449048
36,161.38,Child,2.1126760563380045,GAME,SPEAKER1 ,2,1.4939807248955228
37,161.92,Parent,1.838235294117648,GAME,SPEAKER1 ,12,4.7428802229907845
38,163.56,Child,1.4662756598240485,GAME,SPEAKER1 ,3,1.336934644588051
39,167.68,Parent,4.511278195488776,GAME,SPEAKER1 ,26,4.481169496163773
40,168.78,Child,2.158273381294985,GAME,SPEAKER1 ,3,1.6478592592105448
41,170.95,Parent,5.3571428571428354,GAME,SPEAKER1 ,5,4.7695266095967215
42,174.78,Child,1.6393442622950836,GAME,SPEAKER1 ,4,1.7081849204819572
43,175.0,Parent,4.0462427745664975,GAME,SPEAKER1 ,5,4.585570014831131
44,176.38,Child,1.9011406844106495,GAME,SPEAKER1 ,2,2.0053852481933454
45,180.05,Parent,5.660377358490554,GAME,SPEAKER2 ,5,4.526162559734208
46,181.48,Child,0.5050505050505041,GAME,SPEAKER2 ,2,1.8755890236468031
47,183.39,Parent,3.846153846153841,GAME,SPEAKER2 ,4,4.66606365291484
48,195.0,Child,3.658536585365884,GAME,SPEAKER2 ,5,1.962612700617047
49,191.65,Parent,7.246376811594227,GAME,SPEAKER2 ,3,4.5174208513058005
50,227.82,Child,1.4492753623188457,GAME,SPEAKER2 ,2,1.9785590228431538
51,212.706,Parent,2.692216734066196,GAME,SPEAKER2 ,9,4.492606350546273
52,234.45,Child,3.1578947368421053,GAME,SPEAKER2 ,6,2.2890204978043522
53,232.0,Parent,5.537439165987295,GAME,SPEAKER2 ,3,4.634235592429408
54,241.06,Child,0.9445100354191264,GAME,SPEAKER2 ,12,2.6931672593655622
55,240.54,Parent,3.097345132743337,GAME,SPEAKER2 ,12,4.730356035891945
56,258.54,Child,2.2494887525562435,GAME,SPEAKER2 ,13,2.898890245143193
57,250.565,Parent,3.1734929810074304,GAME,SPEAKER2 ,12,4.661143107260803
58,275.1,Child,2.301790281329942,GAME,SPEAKER2 ,12,2.523951836668196
