,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,27.44,Child,2.295081967213117,PREGAME,0,3,1.141705754892589
1,11.013333333333334,Parent,4.496141638623068,PREGAME,0,33,2.2580672901809007
2,42.0,Child,2.247191011235956,PREGAME,0,2,1.6972613104481367
3,31.48,Parent,1.7595307917888567,PREGAME,0,4,2.6350514171650277
4,49.15,Child,3.5326086956521743,PREGAME,0,19,2.500474161853761
5,50.03,Parent,6.603773584905646,PREGAME,0,11,3.1204883103689114
6,55.61,Child,1.0028653295128933,PREGAME,0,11,2.7463941260835836
7,70.18,Parent,4.0,PREGAME,0,5,3.5966787865593877
8,85.17,Child,1.1976047904191605,PREGAME,0,8,3.3019496816391443
9,78.31,Parent,3.4631595963105366,PREGAME,0,4,4.2484853937009825
10,99.41,Child,4.999999999999929,PREGAME,0,14,3.824718351948798
11,87.32,Parent,3.392857142857142,PREGAME,0,8,4.565907564572956
12,106.24,Child,7.228915662650618,PREGAME,0,3,3.7829924344793247
13,99.78,Parent,4.368932038834957,PREGAME,0,2,4.4496748527359316
14,111.96,Child,2.2132796780684045,GAME,SPEAKER1 ,27,4.223813690517989
15,107.8,Parent,4.285714285714286,GAME,SPEAKER1 ,2,4.364746238679099
16,128.44,Child,5.000000000000047,GAME,SPEAKER1 ,21,4.692173258350482
17,120.775,Parent,5.8662594642743535,GAME,SPEAKER1 ,4,4.578542973802848
18,134.04,Child,7.0,GAME,SPEAKER1 ,10,5.18952371110927
19,130.58,Parent,7.352941176470821,GAME,SPEAKER1 ,9,4.994548263902488
20,141.9,Child,1.8716577540106976,GAME,SPEAKER1 ,40,5.268888790474341
21,135.77,Parent,0.7134363852556483,GAME,SPEAKER1 ,9,5.277577892170222
22,152.27,Child,7.50000000000016,GAME,SPEAKER1 ,5,4.783136256529036
23,150.18,Parent,5.839416058394141,GAME,SPEAKER1 ,5,5.44573577020817
24,157.13333333333333,Child,5.218101440005326,GAME,SPEAKER1 ,5,5.18000784418167
25,162.33,Parent,5.924170616113746,GAME,SPEAKER1 ,5,5.402002400875595
26,175.73,Child,5.6737588652482405,GAME,SPEAKER1 ,8,6.211753875927689
27,168.28,Parent,7.207207207207303,GAME,SPEAKER1 ,7,5.525389592183617
28,198.38,Child,5.714285714285575,GAME,SPEAKER1 ,5,6.079434834894956
29,184.70666666666668,Parent,5.940123797266753,GAME,SPEAKER1 ,5,5.30977069857804
30,205.44,Child,2.8571428571428705,GAME,SPEAKER1 ,5,6.604073594827836
31,212.52,Parent,5.882352941176482,GAME,SPEAKER1 ,5,5.993027222220651
32,226.03,Child,5.785123966942111,GAME,SPEAKER1 ,19,6.148302289541949
33,218.26666666666665,Parent,3.892113961721114,GAME,SPEAKER1 ,5,6.221396198188565
34,229.73,Child,14.285714285714228,GAME,SPEAKER1 ,6,6.244188916328143
35,227.21,Parent,6.976744186046555,GAME,SPEAKER1 ,5,6.152380607845963
36,231.13,Child,5.809128630705402,GAME,SPEAKER1 ,7,6.188483908312042
37,234.55,Parent,5.412371134020625,GAME,SPEAKER1 ,4,6.212906249766949
38,242.08,Child,6.593406593406618,GAME,SPEAKER1 ,4,5.68583840566656
39,244.0,Parent,6.862745098039147,GAME,SPEAKER1 ,7,6.0564171672240485
40,246.03,Child,3.3980582524271807,GAME,SPEAKER1 ,6,5.787296498930731
41,249.27,Parent,7.894736842105358,GAME,SPEAKER1 ,11,6.110883398160859
42,252.06,Child,6.081081081081065,GAME,SPEAKER1 ,22,5.300999469739978
43,256.57,Parent,5.30303030303033,GAME,SPEAKER1 ,11,5.89534603099927
44,259.4,Child,5.1724137931033365,GAME,SPEAKER1 ,4,4.8921490608895315
45,260.94,Parent,7.7519379844961716,GAME,SPEAKER1 ,6,5.287236610160346
46,264.6,Child,1.190476190476226,GAME,SPEAKER1 ,5,5.064686234164938
47,265.59,Parent,4.531722054380661,GAME,SPEAKER1 ,12,5.239878660212229
48,281.77000000000004,Child,3.770265696520414,GAME,SPEAKER1 ,16,4.682041757032274
49,292.62,Parent,6.37254901960778,GAME,SPEAKER1 ,4,4.754782416138243
50,296.9,Child,1.4084507042253362,GAME,SPEAKER1 ,5,4.498053093289881
51,300.07,Parent,1.9522776572668052,GAME,SPEAKER1 ,4,4.1485921437091875
52,304.58,Child,10.606060606060204,GAME,SPEAKER1 ,4,4.596285654209015
