,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,3.06,Child,5.111821086261981,PREGAME,0,7,2.3204198464548456
1,1.55,Parent,8.943089430894311,PREGAME,0,12,2.3574907441478565
2,122.0,Child,5.583756345177668,GAME,SPEAKER1 ,2,2.712576709199946
3,14.998000000000001,Parent,4.597193752881322,GAME,SPEAKER1 ,8,3.0471459165616546
4,132.91500000000002,Child,4.89405439595197,GAME,SPEAKER1 ,15,3.139927136550373
5,136.88,Parent,3.947368421052642,GAME,SPEAKER1 ,30,3.585675785537894
6,147.82,Child,2.549048751486304,GAME,SPEAKER1 ,112,3.3896150266876974
7,153.55,Parent,2.4639423076923097,GAME,SPEAKER1 ,7,4.17535519248889
8,170.11,Child,2.7450980392156894,GAME,SPEAKER1 ,4,3.7622437529749604
9,175.91,Parent,1.2658227848101242,GAME,SPEAKER1 ,2,4.673092749049978
10,183.13,Child,3.529411764705906,GAME,SPEAKER1 ,10,4.174655789141919
11,181.0,Parent,6.206896551724187,GAME,SPEAKER1 ,9,4.060108442741611
12,189.5,Child,3.846153846153841,GAME,SPEAKER2 ,2,3.917709234393872
13,186.56,Parent,4.846768820786156,GAME,SPEAKER2 ,33,3.9893531412663528
14,196.95,Child,2.247191011235918,GAME,SPEAKER2 ,13,3.556074775098663
15,192.25,Parent,5.307114662558972,GAME,SPEAKER2 ,6,4.325950448487907
16,205.04,Child,3.353658536585365,GAME,SPEAKER2 ,7,3.4560287720856167
17,201.03,Parent,4.47963800904978,GAME,SPEAKER2 ,2,4.16329019207765
18,219.03,Child,8.823529411764618,GAME,SPEAKER2 ,6,3.5783683061898715
19,213.5566666666667,Parent,3.4262306741190116,GAME,SPEAKER2 ,4,4.32421547932387
20,225.37,Child,3.271237352445243,GAME,SPEAKER2 ,3,3.8234077795658337
21,231.56,Parent,3.960396039603996,GAME,SPEAKER2 ,6,4.241006559748542
22,238.53,Child,1.6393442622950836,GAME,SPEAKER2 ,6,3.7013076574657076
23,236.53,Parent,6.976744186046632,GAME,SPEAKER2 ,2,4.2315772198728405
24,245.3,Child,1.6486347243688848,GAME,SPEAKER2 ,4,3.863142401073238
25,241.69,Parent,1.0,GAME,SPEAKER2 ,2,4.001044838735536
26,272.47,Child,3.846153846153981,GAME,SPEAKER2 ,5,3.790363749748494
27,259.62,Parent,2.7141503700260947,GAME,SPEAKER2 ,4,3.966270245137396
28,302.46,Child,5.734767025089564,GAME,SPEAKER2 ,16,3.0556373470796245
29,286.19,Parent,5.458016275546242,GAME,SPEAKER2 ,4,3.968004391325115
30,310.28,Child,2.747252747252715,GAME,SPEAKER2 ,3,2.695895508028425
31,305.55,Parent,4.761904761904839,GAME,SPEAKER2 ,9,4.281256055474536
32,321.11,Child,3.7037037037036935,GAME,SPEAKER2 ,3,2.7701564019614513
33,315.37,Parent,3.23232323232324,GAME,SPEAKER2 ,4,3.6965384475011005
34,323.62,Child,2.6986506746626624,GAME,SPEAKER2 ,5,3.2713194969532022
35,322.46,Parent,4.166666666666509,GAME,SPEAKER2 ,3,3.895504855769838
36,344.91,Child,2.2109917877447907,GAME,SPEAKER2 ,6,3.1569581149861805
37,332.29499999999996,Parent,3.4418379898084863,GAME,SPEAKER2 ,28,4.092685709640589
38,360.26,Child,0.0335608009844501,GAME,SPEAKER2 ,24,3.144178212105085
39,360.9,Parent,6.779661016948787,GAME,SPEAKER2 ,11,4.17530061097954
40,371.47,Child,2.3076923076923213,GAME,SPEAKER1 ,2,3.4925226780966065
41,363.0,Parent,1.7142857142857142,GAME,SPEAKER1 ,10,4.168198590454689
42,384.89000000000004,Child,6.159102579294644,GAME,SPEAKER1 ,9,3.3218478285521367
43,391.23,Parent,2.790697674418634,GAME,SPEAKER1 ,4,4.014495837881879
