,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,0.4,Child,1.0380622837370244,PREGAME,0,5,2.1330654431122555
1,1.52,Parent,3.4113060428849904,PREGAME,0,23,2.9594999550525825
2,80.99,Child,3.0075187969924744,GAME,SPEAKER1 ,99,2.4333657434125566
3,44.419999999999995,Parent,4.164199146472261,GAME,SPEAKER1 ,59,3.3361477893275335
4,87.38,Child,5.825242718446596,GAME,SPEAKER1 ,35,2.594936710352651
5,89.07,Parent,6.451612903225759,GAME,SPEAKER1 ,8,4.17850639341899
6,90.55,Child,3.80952380952382,GAME,SPEAKER1 ,5,2.769571069662845
7,92.56,Parent,6.250000000000022,GAME,SPEAKER1 ,7,5.001551660908706
8,94.04,Child,5.517241379310388,GAME,SPEAKER1 ,3,3.2006055524214667
9,96.29,Parent,6.358381502890211,GAME,SPEAKER1 ,4,5.576264304586868
10,99.53,Child,2.702702702702706,GAME,SPEAKER1 ,5,3.1479893130098264
11,106.1,Parent,3.3898305084745566,GAME,SPEAKER1 ,8,5.980706083297652
12,109.31,Child,1.4541387024608503,GAME,SPEAKER1 ,10,3.101486864872226
13,121.12,Parent,7.581227436823116,GAME,SPEAKER1 ,4,6.456984425395421
14,127.0,Child,1.5717092337917475,GAME,SPEAKER1 ,11,2.5505767876138687
15,131.75,Parent,7.4074074074074385,GAME,SPEAKER1 ,13,6.2692390763597565
16,137.09,Child,3.879310344827597,GAME,SPEAKER1 ,6,2.207617649474007
17,140.37,Parent,5.172413793103464,GAME,SPEAKER1 ,8,5.748067319807881
18,145.24,Child,0.5645161290322591,GAME,SPEAKER1 ,7,1.6904423746775372
19,149.73,Parent,7.051282051282041,GAME,SPEAKER1 ,4,5.333978146972128
20,159.33,Child,2.588996763754066,GAME,SPEAKER1 ,7,1.552743700393498
21,165.24,Parent,8.450704225352187,GAME,SPEAKER1 ,8,5.482264695899273
22,167.85,Child,0.8670520231213853,GAME,SPEAKER1 ,7,1.436616950676762
23,172.25,Parent,4.76190476190478,GAME,SPEAKER1 ,5,4.766168718070442
24,176.75,Child,0.7228915662650592,GAME,SPEAKER1 ,3,1.5397603691443456
25,177.59,Parent,1.55945419103314,GAME,SPEAKER1 ,11,4.604499111956385
26,190.83999999999997,Child,0.8626639061421659,GAME,SPEAKER1 ,2,1.6279366859703583
27,201.36,Parent,2.6315789473684306,GAME,SPEAKER1 ,7,4.064207506416733
28,207.49,Child,1.4634146341463536,GAME,SPEAKER1 ,5,1.6010260837562806
29,209.25,Parent,4.72440944881886,GAME,SPEAKER1 ,8,3.7896375753582525
30,215.02,Child,0.408997955010226,GAME,SPEAKER1 ,7,1.6226665067641117
31,217.14,Parent,1.136363636363636,GAME,SPEAKER1 ,3,3.5955493963774607
32,221.09,Child,2.5,GAME,SPEAKER1 ,6,1.8601375981388004
33,225.9,Parent,5.952380952380929,GAME,SPEAKER1 ,2,3.622004422832483
34,228.15,Child,4.672897196261712,GAME,SPEAKER1 ,6,1.9239825083831836
35,231.51,Parent,0.309789343246592,GAME,SPEAKER1 ,10,4.129003843783436
36,235.35,Child,0.3223207091055601,GAME,SPEAKER1 ,4,1.9080858158454344
37,249.21,Parent,4.580152671755717,GAME,SPEAKER1 ,6,4.0786303853849635
38,259.53000000000003,Child,2.783760570824545,GAME,SPEAKER1 ,4,1.9365843809293637
39,267.0,Parent,6.703910614525063,GAME,SPEAKER1 ,4,4.1305281534831035
40,271.6,Child,3.004291845493583,GAME,SPEAKER1 ,6,1.9699423701677863
41,278.05,Parent,4.99999999999998,GAME,SPEAKER1 ,9,4.458623230648814
42,289.18,Child,1.2974957584645057,GAME,SPEAKER1 ,6,1.9965785954341528
43,301.56,Parent,6.122448979591723,GAME,SPEAKER1 ,10,4.725384925640754
44,320.395,Child,0.7195936733024247,GAME,SPEAKER1 ,13,1.622505676836456
45,328.99,Parent,2.178217821782173,GAME,SPEAKER1 ,12,4.91698323475837
46,333.07,Child,1.7199017199017168,GAME,SPEAKER1 ,2,1.6910219465080867
47,338.0,Parent,5.191489361702128,GAME,SPEAKER1 ,8,4.644484001726412
48,350.83,Child,0.7092198581560301,GAME,SPEAKER2 ,12,1.4855573763333978
49,352.24,Parent,4.089219330855022,GAME,SPEAKER2 ,3,4.592351580824277
50,365.49,Child,2.7397260273972988,GAME,SPEAKER2 ,3,1.410145104095093
51,360.20500000000004,Parent,8.353236207308393,GAME,SPEAKER2 ,7,4.199642073120409
52,374.11,Child,1.3062409288824408,GAME,SPEAKER2 ,8,1.3336567621278796
53,367.8,Parent,2.034174125305132,GAME,SPEAKER2 ,21,3.7863585987241013
54,381.22,Child,0.9389671361502367,GAME,SPEAKER2 ,45,1.4074534470540967
55,381.07,Parent,2.1276595744680904,GAME,SPEAKER2 ,2,3.619346116885201
56,395.47,Child,0.9345794392523424,GAME,SPEAKER2 ,8,1.3367989048548394
57,385.0,Parent,6.234718826405863,GAME,SPEAKER2 ,12,3.3954140354661617
