,Filename,UtteranceName,Speaker,Text,Start,End,Length
0,AA-ML-MP,0_Adult1_AA-ML-MP,Adult1,"Ça marche. Bon alors salut Morgane, ça va ?",0.0,3.0,9
2,AA-ML-MP,1_Adult1_AA-ML-MP,Adult1,Comment tu te portes ?,3.0,12.0,5
4,AA-ML-MP,2_Adult1_AA-ML-MP,Adult1,Ok. Euh alors je suis là avec toi aujourd'hui pour faire un petit jeu hyper chouette. Tu es contente ?,12.0,25.0,20
6,AA-ML-MP,3_Adult1_AA-ML-MP,Adult1,C'est vrai ? Ah.,25.0,26.0,4
8,AA-ML-MP,4_Adult1_AA-ML-MP,Adult1,Tu as de la chance.,26.0,27.0,5
10,AA-ML-MP,5_Adult1_AA-ML-MP,Adult1,"Alors ben c'est, c'est le jeu des devinettes. Donc je vais t'expliquer vite fait le principe mais si, est-ce que c'est celui-là ton jeu préféré ?",27.0,42.0,26
12,AA-ML-MP,6_Adult1_AA-ML-MP,Adult1,"Euh dans ma, dans ma version, c'est juste un seul mot.",42.0,61.0,11
15,AA-ML-MP,7_Adult1_AA-ML-MP,Adult1,"Et euh du coup ben je vais essayer de, de mettre un mot dans ma tête. Euh ben comme on est des adultes, je vais peut-être essayer de choisir des mots pas faciles. Et puis euh juste pour que ce soit plus rigolo et puis après, tu me poses des questions, je réponds par oui ou non. Donc vas-y, c'est bon, j'ai un mot dans ma tête.",61.0,85.0,67
17,AA-ML-MP,8_Adult1_AA-ML-MP,Adult1,"Non, pas du tout.",85.0,89.0,4
19,AA-ML-MP,9_Adult1_AA-ML-MP,Adult1,"Non, c'est pas animé ni vivant.",89.0,96.0,6
21,AA-ML-MP,10_Adult1_AA-ML-MP,Adult1,"Oui. On peut le toucher euh facilement, enfin oui euh.",96.0,108.0,10
23,AA-ML-MP,11_Adult1_AA-ML-MP,Adult1,"Oui, c'est, tu peux l'avoir, ça peut être utile. Tout le monde en a pas mais.",108.0,125.0,16
