Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
moi,1.81,1.96,0.1499999999999999,9_Parent_CA-XA-LA,Parent,CA-XA-LA,99.81,99.96
à,1.7,1.74,0.040000000000000036,9_Parent_CA-XA-LA,Parent,CA-XA-LA,99.7,99.74
seulement,1.37,1.7,0.32999999999999985,9_Parent_CA-XA-LA,Parent,CA-XA-LA,99.37,99.7
pas,1.3,1.37,0.07000000000000006,9_Parent_CA-XA-LA,Parent,CA-XA-LA,99.3,99.37
mais,1.08,1.3,0.21999999999999997,9_Parent_CA-XA-LA,Parent,CA-XA-LA,99.08,99.3
oui,0.8,1.08,0.28,9_Parent_CA-XA-LA,Parent,CA-XA-LA,98.8,99.08
peu,0.52,0.8,0.28,9_Parent_CA-XA-LA,Parent,CA-XA-LA,98.52,98.8
petit,0.25,0.52,0.27,9_Parent_CA-XA-LA,Parent,CA-XA-LA,98.25,98.52
Un,0.2,0.25,0.04999999999999999,9_Parent_CA-XA-LA,Parent,CA-XA-LA,98.2,98.25
oui,2.08,2.27,0.18999999999999995,9_Parent_CA-MD-GD,Parent,CA-MD-GD,74.08,74.27
humain,1.76,2.08,0.32000000000000006,9_Parent_CA-MD-GD,Parent,CA-MD-GD,73.76,74.08
corps,1.55,1.76,0.20999999999999996,9_Parent_CA-MD-GD,Parent,CA-MD-GD,73.55,73.76
le,1.44,1.55,0.1100000000000001,9_Parent_CA-MD-GD,Parent,CA-MD-GD,73.44,73.55
dans,1.24,1.44,0.19999999999999996,9_Parent_CA-MD-GD,Parent,CA-MD-GD,73.24,73.44
C'est,1.02,1.24,0.21999999999999997,9_Parent_CA-MD-GD,Parent,CA-MD-GD,73.02,73.24
Non,6.01,6.39,0.3799999999999999,9_Parent_CA-MB-LB,Parent,CA-MB-LB,128.01,128.39
objet,0.54,0.82,0.2799999999999999,9_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,120.54,120.82
un,0.43,0.54,0.11000000000000004,9_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,120.43,120.54
C'est,0.24,0.43,0.19,9_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,120.24,120.43
grand,3.67,3.92,0.25,9_Parent_CA-JL-JT,Parent,CA-JL-JT,139.67,139.92
trop,3.5,3.67,0.16999999999999993,9_Parent_CA-JL-JT,Parent,CA-JL-JT,139.5,139.67
pas,3.4,3.5,0.10000000000000009,9_Parent_CA-JL-JT,Parent,CA-JL-JT,139.4,139.5
C'est,3.27,3.4,0.1299999999999999,9_Parent_CA-JL-JT,Parent,CA-JL-JT,139.27,139.4
oui,2.91,3.12,0.20999999999999996,9_Parent_CA-JL-JT,Parent,CA-JL-JT,138.91,139.12
petit,2.5,2.91,0.41000000000000014,9_Parent_CA-JL-JT,Parent,CA-JL-JT,138.5,138.91
plutôt,2.21,2.5,0.29000000000000004,9_Parent_CA-JL-JT,Parent,CA-JL-JT,138.21,138.5
c'est,2.04,2.21,0.16999999999999993,9_Parent_CA-JL-JT,Parent,CA-JL-JT,138.04,138.21
ouais,1.81,2.04,0.22999999999999998,9_Parent_CA-JL-JT,Parent,CA-JL-JT,137.81,138.04
C'est,0.88,1.81,0.93,9_Parent_CA-JL-JT,Parent,CA-JL-JT,136.88,137.81
là,4.35,4.42,0.07000000000000028,9_Parent_CA-FB-MG,Parent,CA-FB-MG,82.35,82.42
pièce,2.51,2.79,0.28000000000000025,9_Parent_CA-FB-MG,Parent,CA-FB-MG,80.51,80.79
la,2.39,2.51,0.11999999999999966,9_Parent_CA-FB-MG,Parent,CA-FB-MG,80.39,80.51
dans,2.32,2.39,0.07000000000000028,9_Parent_CA-FB-MG,Parent,CA-FB-MG,80.32,80.39
seul,2.16,2.32,0.1599999999999997,9_Parent_CA-FB-MG,Parent,CA-FB-MG,80.16,80.32
tout,2.05,2.16,0.11000000000000032,9_Parent_CA-FB-MG,Parent,CA-FB-MG,80.05,80.16
T'es,1.97,2.05,0.07999999999999985,9_Parent_CA-FB-MG,Parent,CA-FB-MG,79.97,80.05
Ah,0.64,0.81,0.17000000000000004,9_Parent_CA-FB-MG,Parent,CA-FB-MG,78.64,78.81
Nothing,20.77,21.0,0.23000000000000043,9_Parent_CA-BO-IO,Parent,CA-BO-IO,166.77,167.0
animal,20.01,20.42,0.41000000000000014,9_Parent_CA-BO-IO,Parent,CA-BO-IO,166.01,166.42000000000002
an,18.2,18.62,0.4200000000000017,9_Parent_CA-BO-IO,Parent,CA-BO-IO,164.2,164.62
not,5.54,6.07,0.5300000000000002,9_Parent_CA-BO-IO,Parent,CA-BO-IO,151.54,152.07
it's,4.47,4.97,0.5,9_Parent_CA-BO-IO,Parent,CA-BO-IO,150.47,150.97
know,4.32,4.47,0.14999999999999947,9_Parent_CA-BO-IO,Parent,CA-BO-IO,150.32,150.47
we,4.23,4.32,0.08999999999999986,9_Parent_CA-BO-IO,Parent,CA-BO-IO,150.23,150.32
but,4.07,4.23,0.16000000000000014,9_Parent_CA-BO-IO,Parent,CA-BO-IO,150.07,150.23
anything,1.33,1.62,0.29000000000000004,9_Parent_CA-BO-IO,Parent,CA-BO-IO,147.33,147.62
be,1.22,1.33,0.1100000000000001,9_Parent_CA-BO-IO,Parent,CA-BO-IO,147.22,147.33
can,0.78,0.88,0.09999999999999998,9_Parent_CA-BO-IO,Parent,CA-BO-IO,146.78,146.88
It,0.45,0.78,0.33,9_Parent_CA-BO-IO,Parent,CA-BO-IO,146.45,146.78
coucher,10.5,10.95,0.4499999999999993,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.5,142.95
te,10.4,10.5,0.09999999999999964,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.4,142.5
aller,10.3,10.4,0.09999999999999964,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.3,142.4
d,10.27,10.3,0.030000000000001137,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.27,142.3
avant,10.15,10.27,0.11999999999999922,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.15,142.27
